R,xi=-1.0,xi=-0.75,xi=-0.5,xi=-0.25,xi=0.0,xi=0.25,xi=0.5,xi=0.75,xi=1.0
10.0,2.1141416184198007,2.223721522528045,2.3332717930662756,2.4427924131310075,2.552283365661454,2.661744633476978,2.7711761993006094,2.880578056699859,2.989950206524971
9.878255503919197,2.0996172206324486,2.208841321395153,2.318006324808872,2.4271121906272253,2.536158854814879,2.645146255747794,2.754074333590508,2.8629430297190694,2.971752286439445
9.75799318007099,2.0961902824424703,2.206020901563503,2.315734102043971,2.4253297077338196,2.534807543648231,2.6441674348482347,2.753409205866624,2.862532653018242,2.971537568182262
9.639194983824225,2.092760376915043,2.2031969233808484,2.3134582449081122,2.4235439098992875,2.53345351284747,2.643186673254738,2.752742986982466,2.862122042351367,2.971323423158613
9.521843090231195,2.0893271883235385,2.200368877869431,2.311177973890803,2.421753758532335,2.5320955609505362,2.642202633983305,2.7520742414080464,2.8617096904838912,2.971108317415704
9.405919891353129,2.0858904237907523,2.1975363593356523,2.308892806484891,2.4199587647006355,2.5307331279357497,2.6412147485992032,2.7514024907058965,2.861295217190446,2.9708917930166443
9.29140799361821,2.082449590896157,2.1946991927411563,2.3066029094147664,2.4181591061247687,2.5293661807822514,2.6402226398699837,2.75072693020067,2.8608774772294088,2.9706726765685816
9.17829021521179,2.079005037266308,2.1918570837472293,2.3043072880764552,2.416353507394946,2.5279937000186,2.639225814725388,2.750047668593003,2.860457121894747,2.9704520281199254
9.066549583498357,2.0755556616040662,2.189009378176893,2.3020060292623867,2.414542847263645,2.526617045593834,2.638225776962659,2.7493662087359643,2.860035528813279,2.970230889242562
8.956169332474895,2.07210232261762,2.186157585739155,2.2997007409321655,2.4127282529226743,2.525236617151649,2.6372222852048437,2.748681762841482,2.859611455702087,2.9700077962679408
8.847132900255245,2.068645983637621,2.183301612574802,2.297390508354035,2.410908495828363,2.523851227587312,2.6362144068853115,2.7479937510016406,2.8591848104502993,2.9697830962405742
8.739423926585099,2.0651854957566673,2.1804405437128507,2.295074875605181,2.409083477189379,2.522461146500889,2.6352025664593692,2.747302471854802,2.8587556582248053,2.9695567145123576
